face_index,ground_truth_id,ground_truth_label,A_pred,A_confidence,A_pStock,A_pThread,A_pText,B_pred,B_confidence,B_pStock,B_pThread,B_pText,C_pred,C_confidence,C_pStock,C_pThread,C_pText,D_pred,D_confidence,D_pStock,D_pThread,D_pText,FrozenLast_pred,FrozenLast_confidence,FrozenLast_pStock,FrozenLast_pThread,FrozenLast_pText,FrozenBestV3_pred,FrozenBestV3_confidence,FrozenBestV3_pStock,FrozenBestV3_pThread,FrozenBestV3_pText,Scratch70K_pred,Scratch70K_confidence,Scratch70K_pStock,Scratch70K_pThread,Scratch70K_pText
127,1,Thread,Thread,0.68041652,0.30737132,0.68041652,0.01221225,Thread,0.99664932,0.00315632,0.99664932,0.00019442,Thread,0.98131508,0.01833149,0.98131508,0.00035343,Stock,0.93655503,0.93655503,0.06192648,0.00151852,Stock,0.89428139,0.89428139,0.10398298,0.00173569,Stock,0.93506593,0.93506593,0.06365082,0.00128337,Thread,0.98239660,0.01738448,0.98239660,0.00021892
128,1,Thread,Thread,0.72861499,0.25909001,0.72861499,0.01229497,Thread,0.99892932,0.00103668,0.99892932,0.00003393,Thread,0.98118156,0.01845291,0.98118156,0.00036547,Stock,0.92327523,0.92327523,0.07576786,0.00095689,Stock,0.85829735,0.85829735,0.13932306,0.00237959,Stock,0.89299440,0.89299440,0.10510149,0.00190415,Thread,0.99628842,0.00365225,0.99628842,0.00005943
129,1,Thread,Thread,0.67647505,0.30776709,0.67647505,0.01575785,Thread,0.99932587,0.00065874,0.99932587,0.00001540,Thread,0.98128164,0.01836720,0.98128164,0.00035113,Stock,0.94004828,0.94004828,0.05806375,0.00188807,Stock,0.88138175,0.88138175,0.11676712,0.00185114,Stock,0.91440660,0.91440660,0.08409446,0.00149898,Thread,0.98877662,0.01107036,0.98877662,0.00015296
130,1,Thread,Thread,0.68026906,0.30761033,0.68026906,0.01212063,Thread,0.99665844,0.00314789,0.99665844,0.00019368,Thread,0.98130947,0.01833716,0.98130947,0.00035338,Stock,0.93633026,0.93633026,0.06217372,0.00149609,Stock,0.89262474,0.89262474,0.10561707,0.00175815,Stock,0.93533689,0.93533689,0.06338171,0.00128142,Thread,0.98260480,0.01717868,0.98260480,0.00021663
131,1,Thread,Thread,0.72861236,0.25909081,0.72861236,0.01229679,Thread,0.99893290,0.00103335,0.99893290,0.00003372,Thread,0.98176461,0.01788164,0.98176461,0.00035380,Stock,0.92019773,0.92019773,0.07884377,0.00095854,Stock,0.85577846,0.85577846,0.14178398,0.00243758,Stock,0.89316118,0.89316118,0.10492978,0.00190910,Thread,0.99740630,0.00255095,0.99740630,0.00004272
132,1,Thread,Thread,0.71142465,0.27421784,0.71142465,0.01435746,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98166257,0.01799150,0.98166257,0.00034588,Stock,0.93783116,0.93783116,0.06040397,0.00176486,Stock,0.87631303,0.87631303,0.12146470,0.00222224,Stock,0.91168958,0.91168958,0.08654878,0.00176157,Thread,0.99420387,0.00567687,0.99420387,0.00011922
133,1,Thread,Thread,0.68004334,0.30796948,0.68004334,0.01198719,Thread,0.99708074,0.00276499,0.99708074,0.00015430,Thread,0.98134345,0.01830469,0.98134345,0.00035185,Stock,0.93491095,0.93491095,0.06363035,0.00145878,Stock,0.89122659,0.89122659,0.10699921,0.00177417,Stock,0.93490595,0.93490595,0.06380904,0.00128497,Thread,0.98322785,0.01656191,0.98322785,0.00021033
134,1,Thread,Thread,0.72890317,0.25881633,0.72890317,0.01228041,Thread,0.99893516,0.00103127,0.99893516,0.00003358,Thread,0.98456627,0.01512048,0.98456627,0.00031328,Stock,0.88534421,0.88534421,0.11338339,0.00127238,Stock,0.84747583,0.84747583,0.14999638,0.00252784,Stock,0.89163649,0.89163649,0.10643130,0.00193212,Thread,0.99845147,0.00152015,0.99845147,0.00002838
135,1,Thread,Thread,0.72823054,0.25666836,0.72823054,0.01510107,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98786455,0.01192101,0.98786455,0.00021447,Stock,0.93770701,0.93770701,0.06057391,0.00171904,Stock,0.90226066,0.90226066,0.09599139,0.00174789,Stock,0.92014897,0.92014897,0.07830789,0.00154307,Thread,0.99575222,0.00417225,0.99575222,0.00007548
136,1,Thread,Thread,0.68994057,0.29775614,0.68994057,0.01230333,Thread,0.99901462,0.00095349,0.99901462,0.00003188,Thread,0.98509753,0.01464216,0.98509753,0.00026034,Stock,0.91984254,0.91984254,0.07884607,0.00131137,Stock,0.88319254,0.88319254,0.11497921,0.00182831,Stock,0.93047458,0.93047458,0.06814335,0.00138213,Thread,0.98658854,0.01324886,0.98658854,0.00016262
137,1,Thread,Thread,0.73439604,0.25326371,0.73439604,0.01234028,Thread,0.99893516,0.00103121,0.99893516,0.00003358,Thread,0.98456800,0.01511877,0.98456800,0.00031323,Stock,0.87581182,0.87581182,0.12282917,0.00135905,Stock,0.84707999,0.84707999,0.15050033,0.00241969,Stock,0.89141697,0.89141697,0.10665993,0.00192313,Thread,0.99847120,0.00150084,0.99847120,0.00002796
138,1,Thread,Thread,0.73476940,0.24976625,0.73476940,0.01546434,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98814166,0.01164547,0.98814166,0.00021289,Stock,0.93410736,0.93410736,0.06429265,0.00160000,Stock,0.90251017,0.90251017,0.09575353,0.00173634,Stock,0.92039245,0.92039245,0.07808843,0.00151905,Thread,0.99573427,0.00418964,0.99573427,0.00007608
139,1,Thread,Thread,0.70758903,0.28119990,0.70758903,0.01121114,Thread,0.99901485,0.00095322,0.99901485,0.00003187,Thread,0.98812127,0.01166572,0.98812127,0.00021301,Stock,0.94098234,0.94098234,0.05780245,0.00121514,Stock,0.91075122,0.91075122,0.08782719,0.00142161,Stock,0.93651986,0.93651986,0.06220577,0.00127436,Thread,0.99359071,0.00628480,0.99359071,0.00012447
140,1,Thread,Thread,0.75584418,0.23131804,0.75584418,0.01283780,Thread,0.99893540,0.00103098,0.99893540,0.00003356,Thread,0.98451632,0.01516973,0.98451632,0.00031395,Stock,0.86317283,0.86317283,0.13528088,0.00154624,Stock,0.80811137,0.80811137,0.18920818,0.00268049,Stock,0.86488181,0.86488181,0.13264607,0.00247220,Thread,0.99913520,0.00084981,0.99913520,0.00001500
141,1,Thread,Thread,0.73221743,0.25247523,0.73221743,0.01530741,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98810738,0.01167951,0.98810738,0.00021309,Stock,0.87143815,0.87143815,0.12674284,0.00181895,Stock,0.87279546,0.87279546,0.12491468,0.00228985,Stock,0.90126717,0.90126717,0.09694156,0.00179131,Thread,0.99850404,0.00146333,0.99850404,0.00003261
142,1,Thread,Thread,0.70889580,0.27990720,0.70889580,0.01119697,Thread,0.99901521,0.00095299,0.99901521,0.00003186,Thread,0.98785108,0.01193441,0.98785108,0.00021455,Stock,0.92299378,0.92299378,0.07572503,0.00128122,Stock,0.90832043,0.90832043,0.09024675,0.00143278,Stock,0.93650597,0.93650597,0.06221958,0.00127450,Thread,0.99102753,0.00883091,0.99102753,0.00014157
143,1,Thread,Thread,0.75472146,0.23333704,0.75472146,0.01194154,Thread,0.99893516,0.00103121,0.99893516,0.00003358,Thread,0.98456800,0.01511890,0.98456800,0.00031320,Stock,0.87334466,0.87334466,0.12526990,0.00138550,Stock,0.82782441,0.82782441,0.16983759,0.00233803,Stock,0.88920593,0.88920593,0.10884471,0.00194940,Thread,0.99845934,0.00151285,0.99845934,0.00002787
144,1,Thread,Thread,0.74224782,0.24161196,0.74224782,0.01614022,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98810738,0.01167956,0.98810738,0.00021309,Stock,0.91967535,0.91967535,0.07887643,0.00144828,Stock,0.89807224,0.89807224,0.10014340,0.00178435,Stock,0.91710740,0.91710740,0.08136780,0.00152475,Thread,0.99573272,0.00419125,0.99573272,0.00007609
145,1,Thread,Thread,0.70827407,0.28037888,0.70827407,0.01134709,Thread,0.99901485,0.00095325,0.99901485,0.00003187,Thread,0.98805064,0.01173591,0.98805064,0.00021341,Stock,0.92323172,0.92323172,0.07548422,0.00128400,Stock,0.90823573,0.90823573,0.09033339,0.00143092,Stock,0.93649518,0.93649518,0.06223022,0.00127456,Thread,0.99395424,0.00592411,0.99395424,0.00012170
146,1,Thread,Thread,0.76007050,0.22806785,0.76007050,0.01186158,Thread,0.99893516,0.00103121,0.99893516,0.00003358,Thread,0.98455900,0.01512768,0.98455900,0.00031333,Stock,0.87276709,0.87276709,0.12583873,0.00139414,Stock,0.80266416,0.80266416,0.19487588,0.00245997,Stock,0.88760722,0.88760722,0.11042643,0.00196640,Thread,0.99845719,0.00151493,0.99845719,0.00002781
147,1,Thread,Thread,0.75182879,0.23101307,0.75182879,0.01715819,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98805594,0.01173055,0.98805594,0.00021338,Stock,0.91008770,0.91008770,0.08839492,0.00151734,Stock,0.87571502,0.87571502,0.12211722,0.00216774,Stock,0.90954232,0.90954232,0.08891129,0.00154632,Thread,0.99573803,0.00418617,0.99573803,0.00007590
148,1,Thread,Thread,0.70491803,0.28337738,0.70491803,0.01170463,Thread,0.99901485,0.00095325,0.99901485,0.00003187,Thread,0.98798382,0.01180243,0.98798382,0.00021379,Stock,0.91844761,0.91844761,0.08023898,0.00131337,Stock,0.90656662,0.90656662,0.09198904,0.00144425,Stock,0.93639320,0.93639320,0.06233167,0.00127512,Thread,0.99403894,0.00584005,0.99403894,0.00012104
149,1,Thread,Thread,0.76176345,0.22663720,0.76176345,0.01159939,Thread,0.99893516,0.00103121,0.99893516,0.00003358,Thread,0.98316807,0.01649863,0.98316807,0.00033332,Stock,0.87175035,0.87175035,0.12683140,0.00141821,Stock,0.79751176,0.79751176,0.20003663,0.00245167,Stock,0.88287568,0.88287568,0.11510249,0.00202182,Thread,0.99845874,0.00151357,0.99845874,0.00002770
150,1,Thread,Thread,0.75448084,0.22802922,0.75448084,0.01748994,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98795426,0.01183178,0.98795426,0.00021396,Stock,0.90303373,0.90303373,0.09533530,0.00163101,Stock,0.86827332,0.86827332,0.12948123,0.00224544,Stock,0.90800679,0.90800679,0.09043286,0.00156037,Thread,0.99574786,0.00417656,0.99574786,0.00007557
151,1,Thread,Thread,0.70010829,0.28788486,0.70010829,0.01200680,Thread,0.99901485,0.00095326,0.99901485,0.00003187,Thread,0.98785549,0.01192989,0.98785549,0.00021452,Stock,0.91648167,0.91648167,0.08219677,0.00132156,Stock,0.89966327,0.89966327,0.09882809,0.00150869,Stock,0.93538404,0.93538404,0.06333551,0.00128049,Thread,0.99410713,0.00577231,0.99410713,0.00012051
152,1,Thread,Thread,0.76142693,0.22749366,0.76142693,0.01107938,Thread,0.99893516,0.00103121,0.99893516,0.00003358,Thread,0.98181033,0.01783702,0.98181033,0.00035264,Stock,0.87068540,0.87068540,0.12777871,0.00153594,Stock,0.79058611,0.79058611,0.20703433,0.00237961,Stock,0.86866957,0.86866957,0.12911761,0.00221287,Thread,0.99846846,0.00150410,0.99846846,0.00002741
153,1,Thread,Thread,0.75452942,0.22793815,0.75452942,0.01753249,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98777455,0.01201056,0.98777455,0.00021493,Stock,0.90025496,0.90025496,0.09805689,0.00168817,Stock,0.86748278,0.86748278,0.13035019,0.00216703,Stock,0.90795618,0.90795618,0.09048538,0.00155850,Thread,0.99577111,0.00415410,0.99577111,0.00007482
154,1,Thread,Thread,0.69515681,0.29254022,0.69515681,0.01230301,Thread,0.99901485,0.00095326,0.99901485,0.00003187,Thread,0.98765820,0.01212636,0.98765820,0.00021548,Stock,0.91406834,0.91406834,0.08460854,0.00132316,Stock,0.89330190,0.89330190,0.10514788,0.00155013,Stock,0.93198138,0.93198138,0.06670035,0.00131825,Thread,0.99414730,0.00573256,0.99414730,0.00012019
155,1,Thread,Thread,0.76024896,0.22907059,0.76024896,0.01068053,Thread,0.99893516,0.00103121,0.99893516,0.00003358,Thread,0.98180133,0.01784588,0.98180133,0.00035277,Stock,0.87383163,0.87383163,0.12431591,0.00185241,Stock,0.78960121,0.78960121,0.20803267,0.00236609,Stock,0.84234738,0.84234738,0.15517317,0.00247943,Thread,0.99849725,0.00147611,0.99849725,0.00002667
156,1,Thread,Thread,0.75145221,0.23113699,0.75145221,0.01741078,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98750532,0.01227838,0.98750532,0.00021620,Stock,0.89955771,0.89955771,0.09873897,0.00170333,Stock,0.86835527,0.86835527,0.12955587,0.00208883,Stock,0.90796393,0.90796393,0.09047938,0.00155664,Thread,0.99580020,0.00412583,0.99580020,0.00007391
157,1,Thread,Thread,0.68225455,0.30492032,0.68225455,0.01282511,Thread,0.99901485,0.00095326,0.99901485,0.00003187,Thread,0.98740214,0.01238108,0.98740214,0.00021679,Stock,0.91110951,0.91110951,0.08754399,0.00134646,Stock,0.88607627,0.88607627,0.11230478,0.00161901,Stock,0.92933893,0.92933893,0.06930907,0.00135200,Thread,0.99416381,0.00571610,0.99416381,0.00012006
158,1,Thread,Thread,0.76009864,0.22933258,0.76009864,0.01056885,Thread,0.99893516,0.00103121,0.99893516,0.00003358,Thread,0.98180091,0.01784630,0.98180091,0.00035278,Stock,0.87441242,0.87441242,0.12327453,0.00231308,Stock,0.78946435,0.78946435,0.20816959,0.00236603,Stock,0.82542861,0.82542861,0.17205794,0.00251349,Thread,0.99857581,0.00139958,0.99857581,0.00002469
159,1,Thread,Thread,0.74030119,0.24267545,0.74030119,0.01702337,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98714268,0.01263900,0.98714268,0.00021834,Stock,0.89932495,0.89932495,0.09896639,0.00170867,Stock,0.86911577,0.86911577,0.12884124,0.00204300,Stock,0.90797710,0.90797710,0.09046727,0.00155564,Thread,0.99583328,0.00409381,0.99583328,0.00007294
160,1,Thread,Thread,0.67439622,0.31275648,0.67439622,0.01284733,Thread,0.99901485,0.00095327,0.99901485,0.00003187,Thread,0.98708308,0.01269817,0.98708308,0.00021873,Stock,0.90715045,0.90715045,0.09145374,0.00139580,Stock,0.87783438,0.87783438,0.12042120,0.00174449,Stock,0.92867970,0.92867970,0.06996055,0.00135967,Thread,0.99416983,0.00571019,0.99416983,0.00012001
161,1,Thread,Thread,0.76025003,0.22919275,0.76025003,0.01055719,Thread,0.99893516,0.00103122,0.99893516,0.00003358,Thread,0.98179942,0.01784785,0.98179942,0.00035281,Stock,0.87427104,0.87427104,0.12312583,0.00260311,Stock,0.78931838,0.78931838,0.20832402,0.00235764,Stock,0.81914991,0.81914991,0.17837794,0.00247213,Thread,0.99876165,0.00121817,0.99876165,0.00002021
162,1,Thread,Thread,0.73030806,0.25311390,0.73030806,0.01657817,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98686385,0.01291610,0.98686385,0.00022013,Stock,0.89924598,0.89924598,0.09904334,0.00171070,Stock,0.86931646,0.86931646,0.12865476,0.00202873,Stock,0.90802723,0.90802723,0.09041801,0.00155473,Thread,0.99586749,0.00406051,0.99586749,0.00007206
163,1,Thread,Thread,0.67100364,0.31612179,0.67100364,0.01287457,Thread,0.99901485,0.00095327,0.99901485,0.00003187,Thread,0.98683947,0.01294015,0.98683947,0.00022029,Stock,0.90315896,0.90315896,0.09536152,0.00147950,Stock,0.87663484,0.87663484,0.12160224,0.00176293,Stock,0.92849296,0.92849296,0.07014595,0.00136114,Thread,0.99417228,0.00570777,0.99417228,0.00011999
164,1,Thread,Thread,0.76050872,0.22891536,0.76050872,0.01057588,Thread,0.99893516,0.00103122,0.99893516,0.00003358,Thread,0.98179263,0.01785437,0.98179263,0.00035294,Stock,0.87387860,0.87387860,0.12339622,0.00272519,Stock,0.78895181,0.78895181,0.20873021,0.00231802,Stock,0.81507361,0.81507361,0.18245161,0.00247476,Thread,0.99898857,0.00099641,0.99898857,0.00001504
165,1,Thread,Thread,0.72813249,0.25540999,0.72813249,0.01645759,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98672056,0.01305850,0.98672056,0.00022096,Stock,0.89924985,0.89924985,0.09903923,0.00171089,Stock,0.86933661,0.86933661,0.12863985,0.00202359,Stock,0.90811110,0.90811110,0.09033543,0.00155351,Thread,0.99589866,0.00402999,0.99589866,0.00007136
166,1,Thread,Thread,0.66988313,0.31723499,0.66988313,0.01288188,Thread,0.99901485,0.00095327,0.99901485,0.00003187,Thread,0.98672032,0.01305873,0.98672032,0.00022096,Stock,0.90200394,0.90200394,0.09646756,0.00152852,Stock,0.87644231,0.87644231,0.12179181,0.00176590,Stock,0.92839676,0.92839676,0.07024162,0.00136165,Thread,0.99417323,0.00570688,0.99417323,0.00011998
167,1,Thread,Thread,0.76092428,0.22848715,0.76092428,0.01058857,Thread,0.99893516,0.00103122,0.99893516,0.00003358,Thread,0.98176318,0.01788320,0.98176318,0.00035353,Stock,0.87344682,0.87344682,0.12376407,0.00278907,Stock,0.78843838,0.78843838,0.20930229,0.00225936,Stock,0.81462955,0.81462955,0.18290147,0.00246900,Thread,0.99917370,0.00081528,0.99917370,0.00001096
168,1,Thread,Thread,0.72689581,0.25678349,0.72689581,0.01632066,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98666102,0.01311774,0.98666102,0.00022129,Stock,0.89927751,0.89927751,0.09901212,0.00171045,Stock,0.86937529,0.86937529,0.12860620,0.00201853,Stock,0.90825731,0.90825731,0.09019148,0.00155127,Thread,0.99593461,0.00399471,0.99593461,0.00007066
169,1,Thread,Thread,0.66959280,0.31752580,0.66959280,0.01288143,Thread,0.99901485,0.00095327,0.99901485,0.00003187,Thread,0.98666614,0.01311265,0.98666614,0.00022127,Stock,0.90181875,0.90181875,0.09662385,0.00155746,Stock,0.87638885,0.87638885,0.12184451,0.00176660,Stock,0.92839515,0.92839515,0.07024311,0.00136169,Thread,0.99417371,0.00570635,0.99417371,0.00011997
170,1,Thread,Thread,0.76111549,0.22828794,0.76111549,0.01059649,Thread,0.99893516,0.00103123,0.99893516,0.00003358,Thread,0.98161536,0.01802814,0.98161536,0.00035650,Stock,0.87366307,0.87366307,0.12355144,0.00278551,Stock,0.78819966,0.78819966,0.20957296,0.00222730,Stock,0.82117695,0.82117695,0.17641112,0.00241200,Thread,0.99924904,0.00074147,0.99924904,0.00000946
171,1,Thread,Thread,0.72340018,0.26100761,0.72340018,0.01559216,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98664004,0.01313857,0.98664004,0.00022141,Stock,0.89938992,0.89938992,0.09890247,0.00170767,Stock,0.86943030,0.86943030,0.12855388,0.00201582,Stock,0.90860319,0.90860319,0.08985107,0.00154575,Thread,0.99596196,0.00396792,0.99596196,0.00007019
172,1,Thread,Thread,0.66946226,0.31765980,0.66946226,0.01287795,Thread,0.99901485,0.00095327,0.99901485,0.00003187,Thread,0.98664361,0.01313496,0.98664361,0.00022139,Stock,0.90197623,0.90197623,0.09644508,0.00157867,Stock,0.87635309,0.87635309,0.12188007,0.00176676,Stock,0.92834324,0.92834324,0.07029490,0.00136190,Thread,0.99417418,0.00570589,0.99417418,0.00011996
173,1,Thread,Thread,0.76016790,0.22925867,0.76016790,0.01057346,Thread,0.99893516,0.00103123,0.99893516,0.00003358,Thread,0.98084545,0.01878285,0.98084545,0.00037170,Stock,0.87447083,0.87447083,0.12279917,0.00273001,Stock,0.78832543,0.78832543,0.20945589,0.00221870,Stock,0.84879923,0.84879923,0.14902070,0.00218012,Thread,0.99927741,0.00071370,0.99927741,0.00000894
174,1,Thread,Thread,0.71752596,0.26929662,0.71752596,0.01317745,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98663414,0.01314443,0.98663414,0.00022144,Stock,0.89980280,0.89980280,0.09850045,0.00169674,Stock,0.86947960,0.86947960,0.12850207,0.00201825,Stock,0.90951878,0.90951878,0.08894904,0.00153219,Thread,0.99601561,0.00391507,0.99601561,0.00006935
175,1,Thread,Thread,0.66880274,0.31835136,0.66880274,0.01284594,Thread,0.99901485,0.00095327,0.99901485,0.00003187,Thread,0.98663527,0.01314320,0.98663527,0.00022144,Stock,0.90353715,0.90353715,0.09490142,0.00156133,Stock,0.87631816,0.87631816,0.12191519,0.00176671,Stock,0.92842174,0.92842174,0.07021662,0.00136166,Thread,0.99417490,0.00570524,0.99417490,0.00011994
176,1,Thread,Thread,0.74417055,0.24553829,0.74417055,0.01029124,Thread,0.99893516,0.00103124,0.99893516,0.00003358,Thread,0.97873652,0.02085101,0.97873652,0.00041241,Stock,0.87552488,0.87552488,0.12181776,0.00265737,Stock,0.78920245,0.78920245,0.20859063,0.00220698,Stock,0.87205058,0.87205058,0.12591547,0.00203388,Thread,0.99928635,0.00070489,0.99928635,0.00000879
177,1,Thread,Thread,0.71240360,0.27538463,0.71240360,0.01221173,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98663318,0.01314536,0.98663318,0.00022144,Stock,0.90104884,0.90104884,0.09728608,0.00166509,Stock,0.86966360,0.86966360,0.12831807,0.00201824,Stock,0.91134667,0.91134667,0.08714642,0.00150691,Thread,0.99613923,0.00379330,0.99613923,0.00006750
178,1,Thread,Thread,0.66282779,0.32462418,0.66282779,0.01254801,Thread,0.99901485,0.00095327,0.99901485,0.00003187,Thread,0.98663259,0.01314593,0.98663259,0.00022145,Stock,0.90570492,0.90570492,0.09277546,0.00151969,Stock,0.87629342,0.87629342,0.12194018,0.00176640,Stock,0.92852145,0.92852145,0.07011724,0.00136133,Thread,0.99417579,0.00570430,0.99417579,0.00011992
179,1,Thread,Thread,0.73734248,0.25243697,0.73734248,0.01022060,Thread,0.99893516,0.00103126,0.99893516,0.00003358,Thread,0.97791141,0.02166147,0.97791141,0.00042712,Stock,0.87705874,0.87705874,0.12040563,0.00253565,Stock,0.79514438,0.79514438,0.20266038,0.00219519,Stock,0.88175547,0.88175547,0.11628255,0.00196197,Thread,0.99928927,0.00070191,0.99928927,0.00000876
180,1,Thread,Thread,0.70854783,0.27951300,0.70854783,0.01193922,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98663503,0.01314356,0.98663503,0.00022141,Stock,0.90666962,0.90666962,0.09179321,0.00153720,Stock,0.87101638,0.87101638,0.12698980,0.00199385,Stock,0.91369128,0.91369128,0.08483284,0.00147585,Thread,0.99656940,0.00336919,0.99656940,0.00006147
181,1,Thread,Thread,0.64826912,0.33984777,0.64826912,0.01188314,Thread,0.99901485,0.00095327,0.99901485,0.00003187,Thread,0.98663205,0.01314654,0.98663205,0.00022145,Stock,0.91002512,0.91002512,0.08854576,0.00142920,Stock,0.87648827,0.87648827,0.12174784,0.00176387,Stock,0.92869568,0.92869568,0.06994363,0.00136071,Thread,0.99417722,0.00570279,0.99417722,0.00011988
182,1,Thread,Thread,0.73703432,0.25273705,0.73703432,0.01022861,Thread,0.99893516,0.00103129,0.99893516,0.00003358,Thread,0.97777212,0.02179860,0.97777212,0.00042932,Stock,0.87866187,0.87866187,0.11893091,0.00240725,Stock,0.83502412,0.83502412,0.16301909,0.00195683,Stock,0.89566761,0.89566761,0.10258193,0.00175038,Thread,0.99929047,0.00070063,0.99929047,0.00000877
183,1,Thread,Thread,0.70674056,0.28144351,0.70674056,0.01181595,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98664027,0.01313832,0.98664027,0.00022133,Stock,0.92621028,0.92621028,0.07252744,0.00126221,Stock,0.88569885,0.88569885,0.11254340,0.00175781,Stock,0.91582209,0.91582209,0.08272560,0.00145236,Thread,0.99763739,0.00231665,0.99763739,0.00004586
184,1,Thread,Thread,0.64355844,0.34492221,0.64355844,0.01151935,Thread,0.99901485,0.00095327,0.99901485,0.00003187,Thread,0.98663038,0.01314817,0.98663038,0.00022148,Stock,0.91773731,0.91773731,0.08093698,0.00132576,Stock,0.87853682,0.87853682,0.11972975,0.00173339,Stock,0.92893356,0.92893356,0.06970663,0.00135982,Thread,0.99418008,0.00570014,0.99418008,0.00011982
185,1,Thread,Thread,0.73670518,0.25306353,0.73670518,0.01023128,Thread,0.99893504,0.00103135,0.99893504,0.00003359,Thread,0.97749662,0.02206939,0.97749662,0.00043405,Stock,0.87983316,0.87983316,0.11790795,0.00225890,Stock,0.87442172,0.87442172,0.12379299,0.00178534,Stock,0.89894253,0.89894253,0.09937254,0.00168495,Thread,0.99929154,0.00069962,0.99929154,0.00000880
186,1,Thread,Thread,0.70681363,0.28143352,0.70681363,0.01175286,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98665178,0.01312706,0.98665178,0.00022115,Stock,0.94022560,0.94022560,0.05865154,0.00112286,Stock,0.90347219,0.90347219,0.09501432,0.00151355,Stock,0.91827142,0.91827142,0.08029854,0.00143009,Thread,0.99840456,0.00156124,0.99840456,0.00003419
187,1,Thread,Thread,0.64286584,0.34566176,0.64286584,0.01147242,Thread,0.99901474,0.00095327,0.99901474,0.00003187,Thread,0.98653179,0.01324493,0.98653179,0.00022331,Stock,0.93194205,0.93194205,0.06688979,0.00116813,Stock,0.88975722,0.88975722,0.10867245,0.00157029,Stock,0.92913252,0.92913252,0.06950870,0.00135878,Thread,0.99418688,0.00569341,0.99418688,0.00011964
188,1,Thread,Thread,0.72315651,0.26717812,0.72315651,0.00966542,Thread,0.99893492,0.00103150,0.99893492,0.00003360,Thread,0.97568786,0.02384302,0.97568786,0.00046911,Stock,0.88526785,0.88526785,0.11293862,0.00179353,Stock,0.89317077,0.89317077,0.10525232,0.00157685,Stock,0.90028566,0.90028566,0.09806336,0.00165090,Thread,0.99929297,0.00069818,0.99929297,0.00000884
189,1,Thread,Thread,0.70739836,0.28088963,0.70739836,0.01171193,Thread,0.99932611,0.00065860,0.99932611,0.00001540,Thread,0.98673069,0.01304930,0.98673069,0.00021998,Stock,0.94300961,0.94300961,0.05584286,0.00114753,Stock,0.91124707,0.91124707,0.08729168,0.00146128,Stock,0.92946917,0.92946917,0.06919907,0.00133167,Thread,0.99845111,0.00151543,0.99845111,0.00003341
190,1,Thread,Thread,0.64277327,0.34576192,0.64277327,0.01146480,Thread,0.99901474,0.00095328,0.99901474,0.00003187,Thread,0.98439687,0.01533926,0.98439687,0.00026381,Stock,0.93982846,0.93982846,0.05908190,0.00108963,Stock,0.89739281,0.89739281,0.10112455,0.00148257,Stock,0.92947853,0.92947853,0.06916694,0.00135460,Thread,0.99419963,0.00568099,0.99419963,0.00011931
191,1,Thread,Thread,0.59514159,0.39509836,0.59514159,0.00976004,Thread,0.99844104,0.00150032,0.99844104,0.00005868,Thread,0.95166844,0.04774828,0.95166844,0.00058318,Stock,0.94026929,0.94026929,0.05845029,0.00128037,Stock,0.92157441,0.92157441,0.07711093,0.00131469,Stock,0.94864148,0.94864148,0.05002483,0.00133360,Thread,0.99631858,0.00360798,0.99631858,0.00007335
192,0,Stock,Stock,0.65235031,0.65235031,0.33506659,0.01258308,Thread,0.99517620,0.00454195,0.99517620,0.00028182,Thread,0.77947247,0.21978897,0.77947247,0.00073854,Stock,0.97278589,0.97278589,0.02565871,0.00155540,Stock,0.98097759,0.98097759,0.01822340,0.00079902,Stock,0.98411685,0.98411685,0.01508255,0.00080057,Thread,0.95768183,0.04193250,0.95768183,0.00038559
193,1,Thread,Thread,0.63569117,0.35305086,0.63569117,0.01125801,Thread,0.99901462,0.00095350,0.99901462,0.00003188,Thread,0.98185468,0.01784432,0.98185468,0.00030106,Stock,0.94307756,0.94307756,0.05578458,0.00113786,Stock,0.91623420,0.91623420,0.08235687,0.00140889,Stock,0.94662082,0.94662082,0.05206777,0.00131133,Thread,0.99520713,0.00469793,0.99520713,0.00009496
