face_index,reference_original_class,corrected_ground_truth,known_original_error,model_A_class,model_A_confidence,model_A_prob_stock,model_A_prob_thread,model_A_prob_text,model_A_correct,model_B_class,model_B_confidence,model_B_prob_stock,model_B_prob_thread,model_B_prob_text,model_B_correct,model_C_class,model_C_confidence,model_C_prob_stock,model_C_prob_thread,model_C_prob_text,model_C_correct
138,Thread,Thread,0,Thread,0.73476940,0.24976625,0.73476940,0.01546434,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98814166,0.01164547,0.98814166,0.00021289,1
139,Thread,Thread,0,Thread,0.70758903,0.28119990,0.70758903,0.01121114,1,Thread,0.99901485,0.00095322,0.99901485,0.00003187,1,Thread,0.98812127,0.01166572,0.98812127,0.00021301,1
140,Thread,Thread,0,Thread,0.75584418,0.23131804,0.75584418,0.01283780,1,Thread,0.99893540,0.00103098,0.99893540,0.00003356,1,Thread,0.98451632,0.01516973,0.98451632,0.00031395,1
141,Thread,Thread,0,Thread,0.73221743,0.25247523,0.73221743,0.01530741,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98810738,0.01167951,0.98810738,0.00021309,1
142,Thread,Thread,0,Thread,0.70889580,0.27990720,0.70889580,0.01119697,1,Thread,0.99901521,0.00095299,0.99901521,0.00003186,1,Thread,0.98785108,0.01193441,0.98785108,0.00021455,1
143,Thread,Thread,0,Thread,0.75472146,0.23333704,0.75472146,0.01194154,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98456800,0.01511890,0.98456800,0.00031320,1
144,Thread,Thread,0,Thread,0.74224782,0.24161196,0.74224782,0.01614022,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98810738,0.01167956,0.98810738,0.00021309,1
145,Thread,Thread,0,Thread,0.70827407,0.28037888,0.70827407,0.01134709,1,Thread,0.99901485,0.00095325,0.99901485,0.00003187,1,Thread,0.98805064,0.01173591,0.98805064,0.00021341,1
146,Thread,Thread,0,Thread,0.76007050,0.22806785,0.76007050,0.01186158,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98455900,0.01512768,0.98455900,0.00031333,1
147,Thread,Thread,0,Thread,0.75182879,0.23101307,0.75182879,0.01715819,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98805594,0.01173055,0.98805594,0.00021338,1
148,Thread,Thread,0,Thread,0.70491803,0.28337738,0.70491803,0.01170463,1,Thread,0.99901485,0.00095325,0.99901485,0.00003187,1,Thread,0.98798382,0.01180243,0.98798382,0.00021379,1
149,Thread,Thread,0,Thread,0.76176345,0.22663720,0.76176345,0.01159939,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98316807,0.01649863,0.98316807,0.00033332,1
150,Thread,Thread,0,Thread,0.75448084,0.22802922,0.75448084,0.01748994,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98795426,0.01183178,0.98795426,0.00021396,1
151,Thread,Thread,0,Thread,0.70010829,0.28788486,0.70010829,0.01200680,1,Thread,0.99901485,0.00095326,0.99901485,0.00003187,1,Thread,0.98785549,0.01192989,0.98785549,0.00021452,1
152,Thread,Thread,0,Thread,0.76142693,0.22749366,0.76142693,0.01107938,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98181033,0.01783702,0.98181033,0.00035264,1
153,Thread,Thread,0,Thread,0.75452942,0.22793815,0.75452942,0.01753249,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98777455,0.01201056,0.98777455,0.00021493,1
154,Thread,Thread,0,Thread,0.69515681,0.29254022,0.69515681,0.01230301,1,Thread,0.99901485,0.00095326,0.99901485,0.00003187,1,Thread,0.98765820,0.01212636,0.98765820,0.00021548,1
155,Thread,Thread,0,Thread,0.76024896,0.22907059,0.76024896,0.01068053,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98180133,0.01784588,0.98180133,0.00035277,1
156,Thread,Thread,0,Thread,0.75145221,0.23113699,0.75145221,0.01741078,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98750532,0.01227838,0.98750532,0.00021620,1
157,Thread,Thread,0,Thread,0.68225455,0.30492032,0.68225455,0.01282511,1,Thread,0.99901485,0.00095326,0.99901485,0.00003187,1,Thread,0.98740214,0.01238108,0.98740214,0.00021679,1
158,Thread,Thread,0,Thread,0.76009864,0.22933258,0.76009864,0.01056885,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98180091,0.01784630,0.98180091,0.00035278,1
159,Thread,Thread,0,Thread,0.74030119,0.24267545,0.74030119,0.01702337,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98714268,0.01263900,0.98714268,0.00021834,1
160,Thread,Thread,0,Thread,0.67439622,0.31275648,0.67439622,0.01284733,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98708308,0.01269817,0.98708308,0.00021873,1
161,Thread,Thread,0,Thread,0.76025003,0.22919275,0.76025003,0.01055719,1,Thread,0.99893516,0.00103122,0.99893516,0.00003358,1,Thread,0.98179942,0.01784785,0.98179942,0.00035281,1
162,Thread,Thread,0,Thread,0.73030806,0.25311390,0.73030806,0.01657817,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98686385,0.01291610,0.98686385,0.00022013,1
163,Thread,Thread,0,Thread,0.67100364,0.31612179,0.67100364,0.01287457,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98683947,0.01294015,0.98683947,0.00022029,1
164,Thread,Thread,0,Thread,0.76050872,0.22891536,0.76050872,0.01057588,1,Thread,0.99893516,0.00103122,0.99893516,0.00003358,1,Thread,0.98179263,0.01785437,0.98179263,0.00035294,1
165,Thread,Thread,0,Thread,0.72813249,0.25540999,0.72813249,0.01645759,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98672056,0.01305850,0.98672056,0.00022096,1
166,Thread,Thread,0,Thread,0.66988313,0.31723499,0.66988313,0.01288188,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98672032,0.01305873,0.98672032,0.00022096,1
167,Thread,Thread,0,Thread,0.76092428,0.22848715,0.76092428,0.01058857,1,Thread,0.99893516,0.00103122,0.99893516,0.00003358,1,Thread,0.98176318,0.01788320,0.98176318,0.00035353,1
168,Thread,Thread,0,Thread,0.72689581,0.25678349,0.72689581,0.01632066,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98666102,0.01311774,0.98666102,0.00022129,1
169,Thread,Thread,0,Thread,0.66959280,0.31752580,0.66959280,0.01288143,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98666614,0.01311265,0.98666614,0.00022127,1
170,Thread,Thread,0,Thread,0.76111549,0.22828794,0.76111549,0.01059649,1,Thread,0.99893516,0.00103123,0.99893516,0.00003358,1,Thread,0.98161536,0.01802814,0.98161536,0.00035650,1
171,Thread,Thread,0,Thread,0.72340018,0.26100761,0.72340018,0.01559216,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98664004,0.01313857,0.98664004,0.00022141,1
172,Thread,Thread,0,Thread,0.66946226,0.31765980,0.66946226,0.01287795,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98664361,0.01313496,0.98664361,0.00022139,1
173,Thread,Thread,0,Thread,0.76016790,0.22925867,0.76016790,0.01057346,1,Thread,0.99893516,0.00103123,0.99893516,0.00003358,1,Thread,0.98084545,0.01878285,0.98084545,0.00037170,1
174,Thread,Thread,0,Thread,0.71752596,0.26929662,0.71752596,0.01317745,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98663414,0.01314443,0.98663414,0.00022144,1
175,Thread,Thread,0,Thread,0.66880274,0.31835136,0.66880274,0.01284594,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98663527,0.01314320,0.98663527,0.00022144,1
176,Thread,Thread,0,Thread,0.74417055,0.24553829,0.74417055,0.01029124,1,Thread,0.99893516,0.00103124,0.99893516,0.00003358,1,Thread,0.97873652,0.02085101,0.97873652,0.00041241,1
177,Thread,Thread,0,Thread,0.71240360,0.27538463,0.71240360,0.01221173,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98663318,0.01314536,0.98663318,0.00022144,1
178,Thread,Thread,0,Thread,0.66282779,0.32462418,0.66282779,0.01254801,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98663259,0.01314593,0.98663259,0.00022145,1
179,Thread,Thread,0,Thread,0.73734248,0.25243697,0.73734248,0.01022060,1,Thread,0.99893516,0.00103126,0.99893516,0.00003358,1,Thread,0.97791141,0.02166147,0.97791141,0.00042712,1
180,Thread,Thread,0,Thread,0.70854783,0.27951300,0.70854783,0.01193922,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98663503,0.01314356,0.98663503,0.00022141,1
181,Thread,Thread,0,Thread,0.64826912,0.33984777,0.64826912,0.01188314,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98663205,0.01314654,0.98663205,0.00022145,1
182,Thread,Thread,0,Thread,0.73703432,0.25273705,0.73703432,0.01022861,1,Thread,0.99893516,0.00103129,0.99893516,0.00003358,1,Thread,0.97777212,0.02179860,0.97777212,0.00042932,1
183,Thread,Thread,0,Thread,0.70674056,0.28144351,0.70674056,0.01181595,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98664027,0.01313832,0.98664027,0.00022133,1
184,Thread,Thread,0,Thread,0.64355844,0.34492221,0.64355844,0.01151935,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98663038,0.01314817,0.98663038,0.00022148,1
185,Thread,Thread,0,Thread,0.73670518,0.25306353,0.73670518,0.01023128,1,Thread,0.99893504,0.00103135,0.99893504,0.00003359,1,Thread,0.97749662,0.02206939,0.97749662,0.00043405,1
186,Thread,Thread,0,Thread,0.70681363,0.28143352,0.70681363,0.01175286,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98665178,0.01312706,0.98665178,0.00022115,1
187,Thread,Thread,0,Thread,0.64286584,0.34566176,0.64286584,0.01147242,1,Thread,0.99901474,0.00095327,0.99901474,0.00003187,1,Thread,0.98653179,0.01324493,0.98653179,0.00022331,1
188,Thread,Thread,0,Thread,0.72315651,0.26717812,0.72315651,0.00966542,1,Thread,0.99893492,0.00103150,0.99893492,0.00003360,1,Thread,0.97568786,0.02384302,0.97568786,0.00046911,1
189,Thread,Thread,0,Thread,0.70739836,0.28088963,0.70739836,0.01171193,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98673069,0.01304930,0.98673069,0.00021998,1
190,Thread,Thread,0,Thread,0.64277327,0.34576192,0.64277327,0.01146480,1,Thread,0.99901474,0.00095328,0.99901474,0.00003187,1,Thread,0.98439687,0.01533926,0.98439687,0.00026381,1
191,Thread,Thread,0,Thread,0.59514159,0.39509836,0.59514159,0.00976004,1,Thread,0.99844104,0.00150032,0.99844104,0.00005868,1,Thread,0.95166844,0.04774828,0.95166844,0.00058318,1
192,Stock,Stock,0,Stock,0.65235031,0.65235031,0.33506659,0.01258308,1,Thread,0.99517620,0.00454195,0.99517620,0.00028182,0,Thread,0.77947247,0.21978897,0.77947247,0.00073854,0
193,Thread,Thread,0,Thread,0.63569117,0.35305086,0.63569117,0.01125801,1,Thread,0.99901462,0.00095350,0.99901462,0.00003188,1,Thread,0.98185468,0.01784432,0.98185468,0.00030106,1
194,Thread,Thread,0,Thread,0.56573826,0.42220116,0.56573826,0.01206056,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97141212,0.02814733,0.97141212,0.00044049,1
195,Thread,Thread,0,Thread,0.64417696,0.34146410,0.64417696,0.01435886,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.94534206,0.05392388,0.94534206,0.00073407,1
196,Thread,Thread,0,Thread,0.55510974,0.43254575,0.55510974,0.01234446,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.96794730,0.03152104,0.96794730,0.00053159,1
197,Thread,Thread,0,Thread,0.56798124,0.41999137,0.56798124,0.01202729,1,Thread,0.99932623,0.00065842,0.99932623,0.00001539,1,Thread,0.97141033,0.02814925,0.97141033,0.00044043,1
198,Thread,Thread,0,Thread,0.64409065,0.34155113,0.64409065,0.01435823,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.94184387,0.05743812,0.94184387,0.00071795,1
199,Thread,Thread,0,Thread,0.51029223,0.47752634,0.51029223,0.01218149,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.96292335,0.03651503,0.96292335,0.00056153,1
200,Thread,Thread,0,Thread,0.56573904,0.42220044,0.56573904,0.01206049,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97141415,0.02814533,0.97141415,0.00044054,1
201,Thread,Thread,0,Thread,0.64396495,0.34167546,0.64396495,0.01435963,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.94944119,0.04985037,0.94944119,0.00070842,1
202,Thread,Thread,0,Thread,0.56109965,0.42653874,0.56109965,0.01236159,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.96956033,0.02993980,0.96956033,0.00049992,1
203,Thread,Thread,0,Thread,0.56988102,0.41811994,0.56988102,0.01199901,1,Thread,0.99932623,0.00065844,0.99932623,0.00001539,1,Thread,0.97141033,0.02814925,0.97141033,0.00044043,1
204,Thread,Thread,0,Thread,0.64299047,0.34263700,0.64299047,0.01437256,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.94331998,0.05594900,0.94331998,0.00073108,1
205,Thread,Thread,0,Thread,0.52862012,0.45909062,0.52862012,0.01228923,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.96409446,0.03536341,0.96409446,0.00054209,1
206,Thread,Thread,0,Thread,0.56587827,0.42206326,0.56587827,0.01205847,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97142595,0.02813321,0.97142595,0.00044089,1
207,Thread,Thread,0,Thread,0.64208663,0.34352860,0.64208663,0.01438477,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95245552,0.04686147,0.95245552,0.00068301,1
208,Thread,Thread,0,Thread,0.56648064,0.42111832,0.56648064,0.01240104,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97322875,0.02632080,0.97322875,0.00045045,1
209,Thread,Thread,0,Thread,0.56596631,0.42197654,0.56596631,0.01205718,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97144532,0.02811329,0.97144532,0.00044145,1
210,Thread,Thread,0,Thread,0.64032739,0.34526852,0.64032739,0.01440400,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95330375,0.04601723,0.95330375,0.00067900,1
211,Thread,Thread,0,Thread,0.56891882,0.41865131,0.56891882,0.01242985,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97360015,0.02595413,0.97360015,0.00044562,1
212,Thread,Thread,0,Thread,0.56617731,0.42176855,0.56617731,0.01205407,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97148657,0.02807083,0.97148657,0.00044264,1
213,Thread,Thread,0,Thread,0.63788337,0.34768447,0.63788337,0.01443211,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95497018,0.04435422,0.95497018,0.00067566,1
214,Thread,Thread,0,Thread,0.57250172,0.41500145,0.57250172,0.01249678,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97370082,0.02585480,0.97370082,0.00044438,1
215,Thread,Thread,0,Thread,0.56658852,0.42136356,0.56658852,0.01204800,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97156996,0.02798480,0.97156996,0.00044520,1
216,Thread,Thread,0,Thread,0.63574445,0.34980428,0.63574445,0.01445123,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95737362,0.04195815,0.95737362,0.00066821,1
217,Thread,Thread,0,Thread,0.58051521,0.40686378,0.58051521,0.01262109,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97372764,0.02582830,0.97372764,0.00044407,1
218,Thread,Thread,0,Thread,0.56798720,0.41998538,0.56798720,0.01202743,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97172302,0.02782673,0.97172302,0.00045029,1
219,Thread,Thread,0,Thread,0.63598412,0.34958979,0.63598412,0.01442607,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95827311,0.04106302,0.95827311,0.00066381,1
220,Thread,Thread,0,Thread,0.59664732,0.39046264,0.59664732,0.01289000,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97373509,0.02582088,0.97373509,0.00044399,1
221,Thread,Thread,0,Thread,0.57376999,0.41428846,0.57376999,0.01194149,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97196937,0.02757213,0.97196937,0.00045849,1
222,Thread,Thread,0,Thread,0.63793021,0.34770381,0.63793021,0.01436604,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95841271,0.04092422,0.95841271,0.00066304,1
223,Thread,Thread,0,Thread,0.61552262,0.37118503,0.61552262,0.01329234,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97373790,0.02581809,0.97373790,0.00044397,1
224,Thread,Thread,0,Thread,0.58844155,0.39982781,0.58844155,0.01173059,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97226733,0.02726556,0.97226733,0.00046706,1
225,Thread,Thread,0,Thread,0.63990772,0.34581065,0.63990772,0.01428165,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95843494,0.04090231,0.95843494,0.00066282,1
226,Thread,Thread,0,Thread,0.63038051,0.35585478,0.63038051,0.01376463,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97374016,0.02581578,0.97374016,0.00044396,1
227,Thread,Thread,0,Thread,0.61617559,0.37212586,0.61617559,0.01169848,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97265935,0.02687359,0.97265935,0.00046709,1
228,Thread,Thread,0,Thread,0.64133185,0.34443352,0.64133185,0.01423457,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95844263,0.04089472,0.95844263,0.00066267,1
229,Thread,Thread,0,Thread,0.63685679,0.34915504,0.63685679,0.01398818,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97374356,0.02581250,0.97374356,0.00044394,1
230,Thread,Thread,0,Thread,0.64503211,0.34333795,0.64503211,0.01162993,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97376913,0.02578710,0.97376913,0.00044380,1
231,Thread,Thread,0,Thread,0.64158952,0.34419703,0.64158952,0.01421344,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95845026,0.04088723,0.95845026,0.00066251,1
232,Thread,Thread,0,Thread,0.64029318,0.34555489,0.64029318,0.01415202,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97374421,0.02581191,0.97374421,0.00044393,1
233,Thread,Thread,0,Thread,0.63805401,0.35021356,0.63805401,0.01173244,1,Thread,0.99932611,0.00065857,0.99932611,0.00001540,1,Thread,0.97148347,0.02807636,0.97148347,0.00044017,1
234,Thread,Thread,0,Thread,0.60983115,0.37767583,0.60983115,0.01249309,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.96280354,0.03665078,0.96280354,0.00054562,1
235,Thread,Thread,0,Thread,0.64084136,0.34498835,0.64084136,0.01417038,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97374630,0.02580996,0.97374630,0.00044372,1
236,Thread,Thread,0,Thread,0.63521248,0.35347286,0.63521248,0.01131466,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97496378,0.02462003,0.97496378,0.00041624,1
237,Thread,Thread,0,Thread,0.64203560,0.34372920,0.64203560,0.01423520,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95878112,0.04056205,0.95878112,0.00065681,1
238,Thread,Thread,0,Thread,0.64321804,0.34247452,0.64321804,0.01430743,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97376597,0.02579024,0.97376597,0.00044383,1
239,Thread,Thread,0,Thread,0.64300519,0.34523284,0.64300519,0.01176187,1,Thread,0.99932611,0.00065857,0.99932611,0.00001540,1,Thread,0.97384167,0.02575266,0.97384167,0.00040557,1
240,Thread,Thread,0,Thread,0.61374921,0.37360471,0.61374921,0.01264616,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.96322036,0.03623030,0.96322036,0.00054932,1
241,Thread,Thread,0,Thread,0.64337730,0.34230757,0.64337730,0.01431512,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97376060,0.02579590,0.97376060,0.00044343,1
242,Thread,Thread,0,Thread,0.67735273,0.30952311,0.67735273,0.01312419,1,Thread,0.99932599,0.00065866,0.99932599,0.00001540,1,Thread,0.97497863,0.02460537,0.97497863,0.00041595,1
243,Thread,Thread,0,Thread,0.64250791,0.34322739,0.64250791,0.01426471,1,Thread,0.99932599,0.00065861,0.99932599,0.00001540,1,Thread,0.96404791,0.03538551,0.96404791,0.00056656,1
244,Thread,Thread,0,Thread,0.64399785,0.34165382,0.64399785,0.01434829,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97391123,0.02564555,0.97391123,0.00044332,1
245,Thread,Thread,0,Thread,0.69927901,0.28717422,0.69927901,0.01354684,1,Thread,0.99932611,0.00065855,0.99932611,0.00001540,1,Thread,0.97486252,0.02472839,0.97486252,0.00040905,1
246,Thread,Thread,0,Thread,0.64101028,0.34482074,0.64101028,0.01416895,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95938253,0.03997470,0.95938253,0.00064278,1
247,Thread,Thread,0,Thread,0.64188910,0.34388930,0.64188910,0.01422162,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97975576,0.01990457,0.97975576,0.00033963,1
248,Thread,Thread,0,Thread,0.69923890,0.28721517,0.69923890,0.01354596,1,Thread,0.99931777,0.00066654,0.99931777,0.00001573,1,Thread,0.97496265,0.02461969,0.97496265,0.00041758,1
249,Thread,Thread,0,Thread,0.64122117,0.34459737,0.64122117,0.01418148,1,Thread,0.99932587,0.00065883,0.99932587,0.00001541,1,Thread,0.96468914,0.03475513,0.96468914,0.00055562,1
250,Thread,Thread,0,Thread,0.64434880,0.34130266,0.64434880,0.01434856,1,Thread,0.99932599,0.00065861,0.99932599,0.00001540,1,Thread,0.97047901,0.02899298,0.97047901,0.00052804,1
251,Thread,Thread,0,Thread,0.70426488,0.28210568,0.70426488,0.01362952,1,Thread,0.99914420,0.00083260,0.99914420,0.00002319,1,Thread,0.97478080,0.02478689,0.97478080,0.00043226,1
252,Thread,Thread,0,Thread,0.64473510,0.34092030,0.64473510,0.01434465,1,Thread,0.99907577,0.00089963,0.99907577,0.00002451,1,Thread,0.95263320,0.04668482,0.95263320,0.00068191,1
253,Thread,Thread,0,Thread,0.64442688,0.34122524,0.64442688,0.01434783,1,Thread,0.99932599,0.00065863,0.99932599,0.00001540,1,Thread,0.97089350,0.02858040,0.97089350,0.00052616,1
254,Thread,Thread,0,Thread,0.70484346,0.28151748,0.70484346,0.01363903,1,Thread,0.99908650,0.00088771,0.99908650,0.00002590,1,Thread,0.97473347,0.02483049,0.97473347,0.00043608,1
255,Thread,Thread,0,Thread,0.64522606,0.34044284,0.64522606,0.01433112,1,Thread,0.99903166,0.00094202,0.99903166,0.00002628,1,Thread,0.95399868,0.04532382,0.95399868,0.00067750,1
256,Thread,Thread,0,Thread,0.64481401,0.34084669,0.64481401,0.01433932,1,Thread,0.99932599,0.00065866,0.99932599,0.00001540,1,Thread,0.97136748,0.02810833,0.97136748,0.00052425,1
257,Thread,Thread,0,Thread,0.70489377,0.28146622,0.70489377,0.01364008,1,Thread,0.99894553,0.00102154,0.99894553,0.00003302,1,Thread,0.97466385,0.02489703,0.97466385,0.00043915,1
258,Thread,Thread,0,Thread,0.64547551,0.34020022,0.64547551,0.01432433,1,Thread,0.99901438,0.00095854,0.99901438,0.00002699,1,Thread,0.95641285,0.04291499,0.95641285,0.00067227,1
259,Thread,Thread,0,Thread,0.67873114,0.30762890,0.67873114,0.01363999,1,Thread,0.99903250,0.00094154,0.99903250,0.00002593,1,Thread,0.97074687,0.02870586,0.97074687,0.00054730,1
260,Thread,Thread,0,Thread,0.70489711,0.28146201,0.70489711,0.01364088,1,Thread,0.99893552,0.00103091,0.99893552,0.00003356,1,Thread,0.97465342,0.02490695,0.97465342,0.00043961,1
261,Thread,Thread,0,Thread,0.67899555,0.30743471,0.67899555,0.01356966,1,Thread,0.99865758,0.00130164,0.99865758,0.00004073,1,Thread,0.94447523,0.05478242,0.94447523,0.00074235,1
262,Thread,Thread,0,Thread,0.67926681,0.30698434,0.67926681,0.01374886,1,Thread,0.99899536,0.00097721,0.99899536,0.00002735,1,Thread,0.97151607,0.02795821,0.97151607,0.00052571,1
263,Thread,Thread,0,Thread,0.70491028,0.28144458,0.70491028,0.01364518,1,Thread,0.99893528,0.00103108,0.99893528,0.00003357,1,Thread,0.97465271,0.02490761,0.97465271,0.00043965,1
264,Thread,Thread,0,Thread,0.67906255,0.30736130,0.67906255,0.01357621,1,Thread,0.99853456,0.00141899,0.99853456,0.00004642,1,Thread,0.94701064,0.05225720,0.94701064,0.00073214,1
265,Thread,Thread,0,Thread,0.68093085,0.30494788,0.68093085,0.01412119,1,Thread,0.99894553,0.00102496,0.99894553,0.00002954,1,Thread,0.97160304,0.02787339,0.97160304,0.00052349,1
266,Thread,Thread,0,Thread,0.70496237,0.28137508,0.70496237,0.01366256,1,Thread,0.99894923,0.00101796,0.99894923,0.00003281,1,Thread,0.97477007,0.02479772,0.97477007,0.00043225,1
267,Thread,Thread,0,Thread,0.68266344,0.30361214,0.68266344,0.01372439,1,Thread,0.99801302,0.00192243,0.99801302,0.00006449,1,Thread,0.95067769,0.04868913,0.95067769,0.00063320,1
268,Thread,Thread,0,Thread,0.68240190,0.30304208,0.68240190,0.01455603,1,Thread,0.99908745,0.00088877,0.99908745,0.00002379,1,Thread,0.96855885,0.03084660,0.96855885,0.00059450,1
269,Thread,Thread,0,Thread,0.55745304,0.42372239,0.55745304,0.01882457,1,Thread,0.99202418,0.00738113,0.99202418,0.00059478,1,Thread,0.92919821,0.07023679,0.92919821,0.00056499,1
270,Thread,Thread,0,Thread,0.64226288,0.34335035,0.64226288,0.01438679,1,Thread,0.99148929,0.00781664,0.99148929,0.00069407,1,Thread,0.91801852,0.08123631,0.91801852,0.00074513,1
271,Stock,Stock,0,Stock,0.64151031,0.64151031,0.33732945,0.02116029,1,Thread,0.58398241,0.40801117,0.58398241,0.00800633,0,Stock,0.57249987,0.57249987,0.42598721,0.00151283,1
272,Stock,Stock,0,Stock,0.56173736,0.56173736,0.41827914,0.01998349,1,Thread,0.91688967,0.07934956,0.91688967,0.00376074,0,Thread,0.51586652,0.48250362,0.51586652,0.00162980,0
