face_index,reference_original_class,corrected_ground_truth,known_original_error,model_A_class,model_A_confidence,model_A_prob_stock,model_A_prob_thread,model_A_prob_text,model_A_correct,model_B_class,model_B_confidence,model_B_prob_stock,model_B_prob_thread,model_B_prob_text,model_B_correct,model_C_class,model_C_confidence,model_C_prob_stock,model_C_prob_thread,model_C_prob_text,model_C_correct,model_D_class,model_D_confidence,model_D_prob_stock,model_D_prob_thread,model_D_prob_text,model_D_correct
107,Text,Stock,1,Text,0.80192089,0.19706389,0.00101520,0.80192089,0,Stock,0.99974734,0.99974734,0.00015443,0.00009818,1,Stock,0.99999905,0.99999905,0.00000088,0.00000007,1,Stock,0.99981779,0.99981779,0.00000080,0.00018146,1
108,Stock,Stock,0,Stock,0.81356126,0.81356126,0.17160474,0.01483405,1,Thread,0.68735576,0.30617401,0.68735576,0.00647026,0,Stock,0.51906413,0.51906413,0.47960889,0.00132699,1,Stock,0.98408210,0.98408210,0.01394923,0.00196873,1
109,Stock,Stock,0,Stock,0.69458383,0.69458383,0.29537025,0.01004586,1,Thread,0.87759668,0.11783990,0.87759668,0.00456340,0,Thread,0.71562821,0.28322673,0.71562821,0.00114514,0,Stock,0.97985017,0.97985017,0.01869714,0.00145275,1
110,Stock,Stock,0,Stock,0.57269204,0.57269204,0.41667157,0.01063644,1,Thread,0.99475831,0.00488596,0.99475831,0.00035575,0,Thread,0.88596010,0.11317435,0.88596010,0.00086551,0,Stock,0.97904676,0.97904676,0.02004988,0.00090334,1
111,Stock,Stock,0,Stock,0.50567889,0.50567889,0.47842866,0.01589237,1,Thread,0.98460025,0.01420111,0.98460025,0.00119857,0,Thread,0.84898096,0.14996293,0.84898096,0.00105608,0,Stock,0.97419667,0.97419667,0.02448007,0.00132322,1
112,Stock,Stock,0,Stock,0.67630714,0.67630714,0.30424529,0.01944762,1,Thread,0.61872554,0.36787379,0.61872554,0.01340059,0,Stock,0.60794175,0.60794175,0.39013278,0.00192549,1,Stock,0.98826605,0.98826605,0.01023170,0.00150215,1
113,Thread,Thread,0,Thread,0.73983192,0.24860701,0.73983192,0.01156115,1,Thread,0.99893516,0.00103120,0.99893516,0.00003358,1,Thread,0.98456848,0.01511841,0.98456848,0.00031319,1,Stock,0.87950200,0.87950200,0.11820796,0.00229009,0
114,Thread,Thread,0,Thread,0.66843581,0.31800947,0.66843581,0.01355474,1,Thread,0.99932599,0.00065862,0.99932599,0.00001540,1,Thread,0.98129785,0.01834844,0.98129785,0.00035379,1,Stock,0.93487072,0.93487072,0.06343327,0.00169600,0
115,Thread,Thread,0,Thread,0.64436233,0.34333530,0.64436233,0.01230237,1,Thread,0.99900299,0.00096946,0.99900299,0.00002745,1,Thread,0.98663193,0.01314658,0.98663193,0.00022146,1,Stock,0.90244246,0.90244246,0.09495043,0.00260710,0
116,Thread,Thread,0,Thread,0.72858530,0.25911653,0.72858530,0.01229809,1,Thread,0.99893349,0.00103283,0.99893349,0.00003368,1,Thread,0.98175883,0.01788717,0.98175883,0.00035408,1,Stock,0.90651846,0.90651846,0.09227702,0.00120446,0
117,Thread,Thread,0,Thread,0.66789293,0.31814814,0.66789293,0.01395891,1,Thread,0.99932575,0.00065891,0.99932575,0.00001541,1,Thread,0.98128164,0.01836465,0.98128164,0.00035364,1,Stock,0.94385451,0.94385451,0.05433064,0.00181490,0
118,Thread,Thread,0,Thread,0.67980641,0.30769211,0.67980641,0.01250147,1,Thread,0.99671364,0.00309964,0.99671364,0.00018681,1,Thread,0.98134184,0.01830525,0.98134184,0.00035298,1,Stock,0.93558705,0.93558705,0.06283867,0.00157420,0
119,Thread,Thread,0,Thread,0.72858530,0.25911641,0.72858530,0.01229818,1,Thread,0.99893516,0.00103126,0.99893516,0.00003358,1,Thread,0.98456371,0.01512263,0.98456371,0.00031363,1,Stock,0.90428454,0.90428454,0.09446574,0.00124970,0
120,Thread,Thread,0,Thread,0.67640716,0.30951717,0.67640716,0.01407568,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98531359,0.01443269,0.98531359,0.00025376,1,Stock,0.94368070,0.94368070,0.05450202,0.00181720,0
121,Thread,Thread,0,Thread,0.68037707,0.30731812,0.68037707,0.01230479,1,Thread,0.99732190,0.00254716,0.99732190,0.00013096,1,Thread,0.98158950,0.01806396,0.98158950,0.00034652,1,Stock,0.93561560,0.93561560,0.06281820,0.00156619,0
122,Thread,Thread,0,Thread,0.72858238,0.25911796,0.72858238,0.01229971,1,Thread,0.99893516,0.00103122,0.99893516,0.00003358,1,Thread,0.97799975,0.02157455,0.97799975,0.00042560,1,Stock,0.87457502,0.87457502,0.12405328,0.00137176,0
123,Thread,Thread,0,Thread,0.66865093,0.31522858,0.66865093,0.01612051,1,Thread,0.99932599,0.00065861,0.99932599,0.00001540,1,Thread,0.98296344,0.01672905,0.98296344,0.00030753,1,Stock,0.92563105,0.92563105,0.07291224,0.00145681,0
124,Thread,Thread,0,Thread,0.67758405,0.31019419,0.67758405,0.01222173,1,Thread,0.99906689,0.00090448,0.99906689,0.00002875,1,Thread,0.98482054,0.01492391,0.98482054,0.00025555,1,Stock,0.92354161,0.92354161,0.07508022,0.00137821,0
125,Thread,Thread,0,Thread,0.72858900,0.25911316,0.72858900,0.01229781,1,Thread,0.99893075,0.00103540,0.99893075,0.00003385,1,Thread,0.98149890,0.01814194,0.98149890,0.00035920,1,Stock,0.92206287,0.92206287,0.07697250,0.00096467,0
126,Thread,Thread,0,Thread,0.67042822,0.31344131,0.67042822,0.01613048,1,Thread,0.99932587,0.00065875,0.99932587,0.00001540,1,Thread,0.98128158,0.01836659,0.98128158,0.00035189,1,Stock,0.94168025,0.94168025,0.05645307,0.00186672,0
127,Thread,Thread,0,Thread,0.68041652,0.30737132,0.68041652,0.01221225,1,Thread,0.99664932,0.00315632,0.99664932,0.00019442,1,Thread,0.98131508,0.01833149,0.98131508,0.00035343,1,Stock,0.93655503,0.93655503,0.06192648,0.00151852,0
128,Thread,Thread,0,Thread,0.72861499,0.25909001,0.72861499,0.01229497,1,Thread,0.99892932,0.00103668,0.99892932,0.00003393,1,Thread,0.98118156,0.01845291,0.98118156,0.00036547,1,Stock,0.92327523,0.92327523,0.07576786,0.00095689,0
129,Thread,Thread,0,Thread,0.67647505,0.30776709,0.67647505,0.01575785,1,Thread,0.99932587,0.00065874,0.99932587,0.00001540,1,Thread,0.98128164,0.01836720,0.98128164,0.00035113,1,Stock,0.94004828,0.94004828,0.05806375,0.00188807,0
130,Thread,Thread,0,Thread,0.68026906,0.30761033,0.68026906,0.01212063,1,Thread,0.99665844,0.00314789,0.99665844,0.00019368,1,Thread,0.98130947,0.01833716,0.98130947,0.00035338,1,Stock,0.93633026,0.93633026,0.06217372,0.00149609,0
131,Thread,Thread,0,Thread,0.72861236,0.25909081,0.72861236,0.01229679,1,Thread,0.99893290,0.00103335,0.99893290,0.00003372,1,Thread,0.98176461,0.01788164,0.98176461,0.00035380,1,Stock,0.92019773,0.92019773,0.07884377,0.00095854,0
132,Thread,Thread,0,Thread,0.71142465,0.27421784,0.71142465,0.01435746,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98166257,0.01799150,0.98166257,0.00034588,1,Stock,0.93783116,0.93783116,0.06040397,0.00176486,0
133,Thread,Thread,0,Thread,0.68004334,0.30796948,0.68004334,0.01198719,1,Thread,0.99708074,0.00276499,0.99708074,0.00015430,1,Thread,0.98134345,0.01830469,0.98134345,0.00035185,1,Stock,0.93491095,0.93491095,0.06363035,0.00145878,0
134,Thread,Thread,0,Thread,0.72890317,0.25881633,0.72890317,0.01228041,1,Thread,0.99893516,0.00103127,0.99893516,0.00003358,1,Thread,0.98456627,0.01512048,0.98456627,0.00031328,1,Stock,0.88534421,0.88534421,0.11338339,0.00127238,0
135,Thread,Thread,0,Thread,0.72823054,0.25666836,0.72823054,0.01510107,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98786455,0.01192101,0.98786455,0.00021447,1,Stock,0.93770701,0.93770701,0.06057391,0.00171904,0
136,Thread,Thread,0,Thread,0.68994057,0.29775614,0.68994057,0.01230333,1,Thread,0.99901462,0.00095349,0.99901462,0.00003188,1,Thread,0.98509753,0.01464216,0.98509753,0.00026034,1,Stock,0.91984254,0.91984254,0.07884607,0.00131137,0
137,Thread,Thread,0,Thread,0.73439604,0.25326371,0.73439604,0.01234028,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98456800,0.01511877,0.98456800,0.00031323,1,Stock,0.87581182,0.87581182,0.12282917,0.00135905,0
138,Thread,Thread,0,Thread,0.73476940,0.24976625,0.73476940,0.01546434,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98814166,0.01164547,0.98814166,0.00021289,1,Stock,0.93410736,0.93410736,0.06429265,0.00160000,0
139,Thread,Thread,0,Thread,0.70758903,0.28119990,0.70758903,0.01121114,1,Thread,0.99901485,0.00095322,0.99901485,0.00003187,1,Thread,0.98812127,0.01166572,0.98812127,0.00021301,1,Stock,0.94098234,0.94098234,0.05780245,0.00121514,0
140,Thread,Thread,0,Thread,0.75584418,0.23131804,0.75584418,0.01283780,1,Thread,0.99893540,0.00103098,0.99893540,0.00003356,1,Thread,0.98451632,0.01516973,0.98451632,0.00031395,1,Stock,0.86317283,0.86317283,0.13528088,0.00154624,0
141,Thread,Thread,0,Thread,0.73221743,0.25247523,0.73221743,0.01530741,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98810738,0.01167951,0.98810738,0.00021309,1,Stock,0.87143815,0.87143815,0.12674284,0.00181895,0
142,Thread,Thread,0,Thread,0.70889580,0.27990720,0.70889580,0.01119697,1,Thread,0.99901521,0.00095299,0.99901521,0.00003186,1,Thread,0.98785108,0.01193441,0.98785108,0.00021455,1,Stock,0.92299378,0.92299378,0.07572503,0.00128122,0
143,Thread,Thread,0,Thread,0.75472146,0.23333704,0.75472146,0.01194154,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98456800,0.01511890,0.98456800,0.00031320,1,Stock,0.87334466,0.87334466,0.12526990,0.00138550,0
144,Thread,Thread,0,Thread,0.74224782,0.24161196,0.74224782,0.01614022,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98810738,0.01167956,0.98810738,0.00021309,1,Stock,0.91967535,0.91967535,0.07887643,0.00144828,0
145,Thread,Thread,0,Thread,0.70827407,0.28037888,0.70827407,0.01134709,1,Thread,0.99901485,0.00095325,0.99901485,0.00003187,1,Thread,0.98805064,0.01173591,0.98805064,0.00021341,1,Stock,0.92323172,0.92323172,0.07548422,0.00128400,0
146,Thread,Thread,0,Thread,0.76007050,0.22806785,0.76007050,0.01186158,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98455900,0.01512768,0.98455900,0.00031333,1,Stock,0.87276709,0.87276709,0.12583873,0.00139414,0
147,Thread,Thread,0,Thread,0.75182879,0.23101307,0.75182879,0.01715819,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98805594,0.01173055,0.98805594,0.00021338,1,Stock,0.91008770,0.91008770,0.08839492,0.00151734,0
148,Thread,Thread,0,Thread,0.70491803,0.28337738,0.70491803,0.01170463,1,Thread,0.99901485,0.00095325,0.99901485,0.00003187,1,Thread,0.98798382,0.01180243,0.98798382,0.00021379,1,Stock,0.91844761,0.91844761,0.08023898,0.00131337,0
149,Thread,Thread,0,Thread,0.76176345,0.22663720,0.76176345,0.01159939,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98316807,0.01649863,0.98316807,0.00033332,1,Stock,0.87175035,0.87175035,0.12683140,0.00141821,0
150,Thread,Thread,0,Thread,0.75448084,0.22802922,0.75448084,0.01748994,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98795426,0.01183178,0.98795426,0.00021396,1,Stock,0.90303373,0.90303373,0.09533530,0.00163101,0
151,Thread,Thread,0,Thread,0.70010829,0.28788486,0.70010829,0.01200680,1,Thread,0.99901485,0.00095326,0.99901485,0.00003187,1,Thread,0.98785549,0.01192989,0.98785549,0.00021452,1,Stock,0.91648167,0.91648167,0.08219677,0.00132156,0
152,Thread,Thread,0,Thread,0.76142693,0.22749366,0.76142693,0.01107938,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98181033,0.01783702,0.98181033,0.00035264,1,Stock,0.87068540,0.87068540,0.12777871,0.00153594,0
153,Thread,Thread,0,Thread,0.75452942,0.22793815,0.75452942,0.01753249,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98777455,0.01201056,0.98777455,0.00021493,1,Stock,0.90025496,0.90025496,0.09805689,0.00168817,0
154,Thread,Thread,0,Thread,0.69515681,0.29254022,0.69515681,0.01230301,1,Thread,0.99901485,0.00095326,0.99901485,0.00003187,1,Thread,0.98765820,0.01212636,0.98765820,0.00021548,1,Stock,0.91406834,0.91406834,0.08460854,0.00132316,0
155,Thread,Thread,0,Thread,0.76024896,0.22907059,0.76024896,0.01068053,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98180133,0.01784588,0.98180133,0.00035277,1,Stock,0.87383163,0.87383163,0.12431591,0.00185241,0
156,Thread,Thread,0,Thread,0.75145221,0.23113699,0.75145221,0.01741078,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98750532,0.01227838,0.98750532,0.00021620,1,Stock,0.89955771,0.89955771,0.09873897,0.00170333,0
157,Thread,Thread,0,Thread,0.68225455,0.30492032,0.68225455,0.01282511,1,Thread,0.99901485,0.00095326,0.99901485,0.00003187,1,Thread,0.98740214,0.01238108,0.98740214,0.00021679,1,Stock,0.91110951,0.91110951,0.08754399,0.00134646,0
158,Thread,Thread,0,Thread,0.76009864,0.22933258,0.76009864,0.01056885,1,Thread,0.99893516,0.00103121,0.99893516,0.00003358,1,Thread,0.98180091,0.01784630,0.98180091,0.00035278,1,Stock,0.87441242,0.87441242,0.12327453,0.00231308,0
159,Thread,Thread,0,Thread,0.74030119,0.24267545,0.74030119,0.01702337,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98714268,0.01263900,0.98714268,0.00021834,1,Stock,0.89932495,0.89932495,0.09896639,0.00170867,0
160,Thread,Thread,0,Thread,0.67439622,0.31275648,0.67439622,0.01284733,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98708308,0.01269817,0.98708308,0.00021873,1,Stock,0.90715045,0.90715045,0.09145374,0.00139580,0
161,Thread,Thread,0,Thread,0.76025003,0.22919275,0.76025003,0.01055719,1,Thread,0.99893516,0.00103122,0.99893516,0.00003358,1,Thread,0.98179942,0.01784785,0.98179942,0.00035281,1,Stock,0.87427104,0.87427104,0.12312583,0.00260311,0
162,Thread,Thread,0,Thread,0.73030806,0.25311390,0.73030806,0.01657817,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98686385,0.01291610,0.98686385,0.00022013,1,Stock,0.89924598,0.89924598,0.09904334,0.00171070,0
163,Thread,Thread,0,Thread,0.67100364,0.31612179,0.67100364,0.01287457,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98683947,0.01294015,0.98683947,0.00022029,1,Stock,0.90315896,0.90315896,0.09536152,0.00147950,0
164,Thread,Thread,0,Thread,0.76050872,0.22891536,0.76050872,0.01057588,1,Thread,0.99893516,0.00103122,0.99893516,0.00003358,1,Thread,0.98179263,0.01785437,0.98179263,0.00035294,1,Stock,0.87387860,0.87387860,0.12339622,0.00272519,0
165,Thread,Thread,0,Thread,0.72813249,0.25540999,0.72813249,0.01645759,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98672056,0.01305850,0.98672056,0.00022096,1,Stock,0.89924985,0.89924985,0.09903923,0.00171089,0
166,Thread,Thread,0,Thread,0.66988313,0.31723499,0.66988313,0.01288188,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98672032,0.01305873,0.98672032,0.00022096,1,Stock,0.90200394,0.90200394,0.09646756,0.00152852,0
167,Thread,Thread,0,Thread,0.76092428,0.22848715,0.76092428,0.01058857,1,Thread,0.99893516,0.00103122,0.99893516,0.00003358,1,Thread,0.98176318,0.01788320,0.98176318,0.00035353,1,Stock,0.87344682,0.87344682,0.12376407,0.00278907,0
168,Thread,Thread,0,Thread,0.72689581,0.25678349,0.72689581,0.01632066,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98666102,0.01311774,0.98666102,0.00022129,1,Stock,0.89927751,0.89927751,0.09901212,0.00171045,0
169,Thread,Thread,0,Thread,0.66959280,0.31752580,0.66959280,0.01288143,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98666614,0.01311265,0.98666614,0.00022127,1,Stock,0.90181875,0.90181875,0.09662385,0.00155746,0
170,Thread,Thread,0,Thread,0.76111549,0.22828794,0.76111549,0.01059649,1,Thread,0.99893516,0.00103123,0.99893516,0.00003358,1,Thread,0.98161536,0.01802814,0.98161536,0.00035650,1,Stock,0.87366307,0.87366307,0.12355144,0.00278551,0
171,Thread,Thread,0,Thread,0.72340018,0.26100761,0.72340018,0.01559216,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98664004,0.01313857,0.98664004,0.00022141,1,Stock,0.89938992,0.89938992,0.09890247,0.00170767,0
172,Thread,Thread,0,Thread,0.66946226,0.31765980,0.66946226,0.01287795,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98664361,0.01313496,0.98664361,0.00022139,1,Stock,0.90197623,0.90197623,0.09644508,0.00157867,0
173,Thread,Thread,0,Thread,0.76016790,0.22925867,0.76016790,0.01057346,1,Thread,0.99893516,0.00103123,0.99893516,0.00003358,1,Thread,0.98084545,0.01878285,0.98084545,0.00037170,1,Stock,0.87447083,0.87447083,0.12279917,0.00273001,0
174,Thread,Thread,0,Thread,0.71752596,0.26929662,0.71752596,0.01317745,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98663414,0.01314443,0.98663414,0.00022144,1,Stock,0.89980280,0.89980280,0.09850045,0.00169674,0
175,Thread,Thread,0,Thread,0.66880274,0.31835136,0.66880274,0.01284594,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98663527,0.01314320,0.98663527,0.00022144,1,Stock,0.90353715,0.90353715,0.09490142,0.00156133,0
176,Thread,Thread,0,Thread,0.74417055,0.24553829,0.74417055,0.01029124,1,Thread,0.99893516,0.00103124,0.99893516,0.00003358,1,Thread,0.97873652,0.02085101,0.97873652,0.00041241,1,Stock,0.87552488,0.87552488,0.12181776,0.00265737,0
177,Thread,Thread,0,Thread,0.71240360,0.27538463,0.71240360,0.01221173,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98663318,0.01314536,0.98663318,0.00022144,1,Stock,0.90104884,0.90104884,0.09728608,0.00166509,0
178,Thread,Thread,0,Thread,0.66282779,0.32462418,0.66282779,0.01254801,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98663259,0.01314593,0.98663259,0.00022145,1,Stock,0.90570492,0.90570492,0.09277546,0.00151969,0
179,Thread,Thread,0,Thread,0.73734248,0.25243697,0.73734248,0.01022060,1,Thread,0.99893516,0.00103126,0.99893516,0.00003358,1,Thread,0.97791141,0.02166147,0.97791141,0.00042712,1,Stock,0.87705874,0.87705874,0.12040563,0.00253565,0
180,Thread,Thread,0,Thread,0.70854783,0.27951300,0.70854783,0.01193922,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98663503,0.01314356,0.98663503,0.00022141,1,Stock,0.90666962,0.90666962,0.09179321,0.00153720,0
181,Thread,Thread,0,Thread,0.64826912,0.33984777,0.64826912,0.01188314,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98663205,0.01314654,0.98663205,0.00022145,1,Stock,0.91002512,0.91002512,0.08854576,0.00142920,0
182,Thread,Thread,0,Thread,0.73703432,0.25273705,0.73703432,0.01022861,1,Thread,0.99893516,0.00103129,0.99893516,0.00003358,1,Thread,0.97777212,0.02179860,0.97777212,0.00042932,1,Stock,0.87866187,0.87866187,0.11893091,0.00240725,0
183,Thread,Thread,0,Thread,0.70674056,0.28144351,0.70674056,0.01181595,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98664027,0.01313832,0.98664027,0.00022133,1,Stock,0.92621028,0.92621028,0.07252744,0.00126221,0
184,Thread,Thread,0,Thread,0.64355844,0.34492221,0.64355844,0.01151935,1,Thread,0.99901485,0.00095327,0.99901485,0.00003187,1,Thread,0.98663038,0.01314817,0.98663038,0.00022148,1,Stock,0.91773731,0.91773731,0.08093698,0.00132576,0
185,Thread,Thread,0,Thread,0.73670518,0.25306353,0.73670518,0.01023128,1,Thread,0.99893504,0.00103135,0.99893504,0.00003359,1,Thread,0.97749662,0.02206939,0.97749662,0.00043405,1,Stock,0.87983316,0.87983316,0.11790795,0.00225890,0
186,Thread,Thread,0,Thread,0.70681363,0.28143352,0.70681363,0.01175286,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98665178,0.01312706,0.98665178,0.00022115,1,Stock,0.94022560,0.94022560,0.05865154,0.00112286,0
187,Thread,Thread,0,Thread,0.64286584,0.34566176,0.64286584,0.01147242,1,Thread,0.99901474,0.00095327,0.99901474,0.00003187,1,Thread,0.98653179,0.01324493,0.98653179,0.00022331,1,Stock,0.93194205,0.93194205,0.06688979,0.00116813,0
188,Thread,Thread,0,Thread,0.72315651,0.26717812,0.72315651,0.00966542,1,Thread,0.99893492,0.00103150,0.99893492,0.00003360,1,Thread,0.97568786,0.02384302,0.97568786,0.00046911,1,Stock,0.88526785,0.88526785,0.11293862,0.00179353,0
189,Thread,Thread,0,Thread,0.70739836,0.28088963,0.70739836,0.01171193,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.98673069,0.01304930,0.98673069,0.00021998,1,Stock,0.94300961,0.94300961,0.05584286,0.00114753,0
190,Thread,Thread,0,Thread,0.64277327,0.34576192,0.64277327,0.01146480,1,Thread,0.99901474,0.00095328,0.99901474,0.00003187,1,Thread,0.98439687,0.01533926,0.98439687,0.00026381,1,Stock,0.93982846,0.93982846,0.05908190,0.00108963,0
191,Thread,Thread,0,Thread,0.59514159,0.39509836,0.59514159,0.00976004,1,Thread,0.99844104,0.00150032,0.99844104,0.00005868,1,Thread,0.95166844,0.04774828,0.95166844,0.00058318,1,Stock,0.94026929,0.94026929,0.05845029,0.00128037,0
192,Stock,Stock,0,Stock,0.65235031,0.65235031,0.33506659,0.01258308,1,Thread,0.99517620,0.00454195,0.99517620,0.00028182,0,Thread,0.77947247,0.21978897,0.77947247,0.00073854,0,Stock,0.97278589,0.97278589,0.02565871,0.00155540,1
193,Thread,Thread,0,Thread,0.63569117,0.35305086,0.63569117,0.01125801,1,Thread,0.99901462,0.00095350,0.99901462,0.00003188,1,Thread,0.98185468,0.01784432,0.98185468,0.00030106,1,Stock,0.94307756,0.94307756,0.05578458,0.00113786,0
194,Thread,Thread,0,Thread,0.56573826,0.42220116,0.56573826,0.01206056,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97141212,0.02814733,0.97141212,0.00044049,1,Stock,0.97672337,0.97672337,0.02136552,0.00191111,0
195,Thread,Thread,0,Thread,0.64417696,0.34146410,0.64417696,0.01435886,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.94534206,0.05392388,0.94534206,0.00073407,1,Stock,0.96799928,0.96799928,0.02976884,0.00223180,0
196,Thread,Thread,0,Thread,0.55510974,0.43254575,0.55510974,0.01234446,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.96794730,0.03152104,0.96794730,0.00053159,1,Stock,0.97204351,0.97204351,0.02588410,0.00207248,0
197,Thread,Thread,0,Thread,0.56798124,0.41999137,0.56798124,0.01202729,1,Thread,0.99932623,0.00065842,0.99932623,0.00001539,1,Thread,0.97141033,0.02814925,0.97141033,0.00044043,1,Stock,0.97054100,0.97054100,0.02758442,0.00187461,0
198,Thread,Thread,0,Thread,0.64409065,0.34155113,0.64409065,0.01435823,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.94184387,0.05743812,0.94184387,0.00071795,1,Stock,0.96831918,0.96831918,0.02948009,0.00220069,0
199,Thread,Thread,0,Thread,0.51029223,0.47752634,0.51029223,0.01218149,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.96292335,0.03651503,0.96292335,0.00056153,1,Stock,0.96501619,0.96501619,0.03310187,0.00188191,0
200,Thread,Thread,0,Thread,0.56573904,0.42220044,0.56573904,0.01206049,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97141415,0.02814533,0.97141415,0.00044054,1,Stock,0.97826809,0.97826809,0.01982952,0.00190236,0
201,Thread,Thread,0,Thread,0.64396495,0.34167546,0.64396495,0.01435963,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.94944119,0.04985037,0.94944119,0.00070842,1,Stock,0.96867365,0.96867365,0.02914311,0.00218333,0
202,Thread,Thread,0,Thread,0.56109965,0.42653874,0.56109965,0.01236159,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.96956033,0.02993980,0.96956033,0.00049992,1,Stock,0.97192478,0.97192478,0.02600189,0.00207338,0
203,Thread,Thread,0,Thread,0.56988102,0.41811994,0.56988102,0.01199901,1,Thread,0.99932623,0.00065844,0.99932623,0.00001539,1,Thread,0.97141033,0.02814925,0.97141033,0.00044043,1,Stock,0.96952462,0.96952462,0.02857758,0.00189779,0
204,Thread,Thread,0,Thread,0.64299047,0.34263700,0.64299047,0.01437256,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.94331998,0.05594900,0.94331998,0.00073108,1,Stock,0.96907449,0.96907449,0.02877428,0.00215130,0
205,Thread,Thread,0,Thread,0.52862012,0.45909062,0.52862012,0.01228923,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.96409446,0.03536341,0.96409446,0.00054209,1,Stock,0.96448928,0.96448928,0.03368066,0.00183012,0
206,Thread,Thread,0,Thread,0.56587827,0.42206326,0.56587827,0.01205847,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97142595,0.02813321,0.97142595,0.00044089,1,Stock,0.97865993,0.97865993,0.01944233,0.00189778,0
207,Thread,Thread,0,Thread,0.64208663,0.34352860,0.64208663,0.01438477,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95245552,0.04686147,0.95245552,0.00068301,1,Stock,0.96947688,0.96947688,0.02838700,0.00213604,0
208,Thread,Thread,0,Thread,0.56648064,0.42111832,0.56648064,0.01240104,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97322875,0.02632080,0.97322875,0.00045045,1,Stock,0.97173721,0.97173721,0.02618994,0.00207288,0
209,Thread,Thread,0,Thread,0.56596631,0.42197654,0.56596631,0.01205718,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.97144532,0.02811329,0.97144532,0.00044145,1,Stock,0.97876304,0.97876304,0.01934181,0.00189519,0
210,Thread,Thread,0,Thread,0.64032739,0.34526852,0.64032739,0.01440400,1,Thread,0.99932611,0.00065860,0.99932611,0.00001540,1,Thread,0.95330375,0.04601723,0.95330375,0.00067900,1,Stock,0.96990407,0.96990407,0.02797824,0.00211777,0
